epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,502.084,1.97415,3.83718,2.57681,1.49012,0,0.73311,0.07158,0.03643,0.01803,0.69468,0.03134,0.00925,0.00273,1.80487,6.09479,2.97295,1.37591,0,5.96842e-05,5.96842e-05,0.0801649
2,999.176,1.8822,3.60409,2.34403,1.43717,0,0.42273,0.08624,0.05668,0.02935,0.37432,0.0347,0.01083,0.00278,1.75953,5.77338,2.5344,1.3491,0,0.000116785,0.000116785,0.060222
3,1569.12,1.85273,3.52421,2.26269,1.40943,0,0.23567,0.10096,0.06606,0.0351,0.14996,0.09435,0.0605,0.02851,1.69615,3.48734,2.43493,1.36688,0,0.000162697,0.000162697,0.040268
4,2011.46,1.8106,3.44578,2.20867,1.39898,0,0.43135,0.09146,0.06841,0.03735,0.42861,0.08742,0.0645,0.02969,1.67838,3.42698,2.42979,1.33086,0,0.000190778,0.000190778,0.020296
5,2424.64,1.78767,3.40043,2.17136,1.38897,0,0.14996,0.22981,0.08165,0.04386,0.14108,0.22322,0.07689,0.03702,1.66254,3.16653,2.34414,1.33529,0,0.000197181,0.000197181,0.000302444
6,2888.82,1.78135,3.375,2.13971,1.38576,0,0.17552,0.22387,0.0858,0.0466,0.1645,0.21777,0.08059,0.03847,1.63211,3.14015,2.32885,1.33328,0,0.0001515,0.0001515,0.0001515
7,3340.01,1.76867,3.35176,2.10977,1.36911,0,0.1672,0.23511,0.08946,0.04873,0.16104,0.22632,0.08394,0.04147,1.61871,3.11704,2.33399,1.31214,0,0.000105611,0.000105611,0.000105611
8,3778.43,1.75082,3.33266,2.08592,1.35616,0,0.17417,0.23619,0.0915,0.05087,0.17758,0.22889,0.088,0.0428,1.61325,3.10031,2.28818,1.31452,0,6.42139e-05,6.42139e-05,6.42139e-05
9,4263.74,1.73812,3.30105,2.07633,1.35082,0,0.17004,0.24421,0.09405,0.05155,0.16941,0.24113,0.09039,0.04345,1.60896,3.08785,2.29738,1.31065,0,3.1361e-05,3.1361e-05,3.1361e-05
10,4676.5,1.74727,3.33637,2.08537,1.35798,0,0.16901,0.24854,0.09246,0.05167,0.16886,0.24596,0.0898,0.04342,1.60108,3.08487,2.30888,1.30165,0,1.02681e-05,1.02681e-05,1.02681e-05
