epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1638.81,1.56457,1.38746,1.74611,0.85855,0.90816,0.92225,0.65535,1.00446,0.81941,1.52504,3.33101e-05,3.33101e-05,0.0333783
2,3238.18,1.47207,1.19183,1.66483,0.97652,1,0.99419,0.72634,0.94162,0.54433,1.43571,6.65783e-05,6.65783e-05,0.0167449
3,4840.45,1.43474,1.11592,1.6253,0.98584,0.9898,0.98987,0.75571,0.91737,0.54222,1.42292,9.95865e-05,9.95865e-05,0.000111209
4,6442.59,1.40212,1.06809,1.60666,0.97875,1,0.99419,0.76213,0.88609,0.51845,1.38864,9.91232e-05,9.91232e-05,9.91232e-05
5,8036.91,1.38221,1.04668,1.59008,0.92309,1,0.98802,0.76837,0.89855,0.51495,1.37311,9.84449e-05,9.84449e-05,9.84449e-05
6,9654.02,1.38618,1.02283,1.5859,0.98985,0.995,0.99429,0.76201,0.85178,0.50883,1.36181,9.75773e-05,9.75773e-05,9.75773e-05
7,11254.9,1.34482,0.98535,1.56009,0.99793,1,0.995,0.77446,0.86756,0.48051,1.36616,9.65239e-05,9.65239e-05,9.65239e-05
8,12853.3,1.32727,0.95963,1.54798,0.97997,0.99866,0.99368,0.76521,0.84361,0.51343,1.31307,9.52889e-05,9.52889e-05,9.52889e-05
9,14447.6,1.33166,0.96388,1.56087,1,0.99827,0.995,0.76578,0.87391,0.47547,1.38875,9.38772e-05,9.38772e-05,9.38772e-05
10,16051.2,1.30352,0.94301,1.53683,0.99814,1,0.995,0.75141,0.87991,0.46665,1.37676,9.22942e-05,9.22942e-05,9.22942e-05
11,17646.2,1.31914,0.92936,1.53421,0.98441,0.97959,0.99392,0.77478,0.84501,0.48123,1.34497,9.05463e-05,9.05463e-05,9.05463e-05
12,19236.8,1.29772,0.91135,1.52216,0.99889,1,0.995,0.77229,0.85166,0.46761,1.347,8.86404e-05,8.86404e-05,8.86404e-05
13,20825.8,1.28856,0.89808,1.502,0.98988,0.99852,0.9948,0.75096,0.87187,0.48788,1.3436,8.65839e-05,8.65839e-05,8.65839e-05
14,22413.7,1.28209,0.89325,1.50806,0.97996,0.99798,0.99398,0.77322,0.84143,0.44781,1.32496,8.43851e-05,8.43851e-05,8.43851e-05
15,24004,1.29104,0.87765,1.50866,1,0.97888,0.9947,0.75596,0.88612,0.44595,1.38643,8.20525e-05,8.20525e-05,8.20525e-05
16,25592.8,1.26359,0.87674,1.49405,0.98989,0.99911,0.99399,0.78384,0.81146,0.4344,1.30879,7.95954e-05,7.95954e-05,7.95954e-05
17,27188.7,1.27303,0.86774,1.49469,0.99934,1,0.995,0.75576,0.87027,0.42509,1.36965,7.70234e-05,7.70234e-05,7.70234e-05
18,28783.2,1.26913,0.86425,1.49624,0.99838,1,0.995,0.7464,0.92709,0.46288,1.40737,7.43468e-05,7.43468e-05,7.43468e-05
19,30373.1,1.24872,0.85614,1.48103,0.98911,1,0.9947,0.79127,0.81692,0.4088,1.30591,7.15761e-05,7.15761e-05,7.15761e-05
20,31963.9,1.24061,0.84052,1.47906,0.98902,1,0.99449,0.78455,0.83544,0.41979,1.30422,6.87222e-05,6.87222e-05,6.87222e-05
21,33556.8,1.23376,0.8303,1.46401,0.96951,1,0.99358,0.77724,0.87367,0.44843,1.31502,6.57963e-05,6.57963e-05,6.57963e-05
22,35150.5,1.23643,0.82436,1.46235,0.98,0.9999,0.99429,0.76008,0.89519,0.44256,1.34877,6.28101e-05,6.28101e-05,6.28101e-05
23,36738.5,1.22698,0.81742,1.45411,0.9985,1,0.995,0.79652,0.84163,0.39611,1.31562,5.97754e-05,5.97754e-05,5.97754e-05
24,38335.9,1.22229,0.81231,1.45169,0.99749,1,0.995,0.7978,0.80555,0.39011,1.26961,5.6704e-05,5.6704e-05,5.6704e-05
25,39916.9,1.20104,0.79212,1.4371,0.99878,1,0.995,0.80025,0.80287,0.40661,1.27477,5.36081e-05,5.36081e-05,5.36081e-05
26,41504.1,1.20968,0.80167,1.44604,0.99601,1,0.995,0.79308,0.83286,0.41099,1.29972,5.05e-05,5.05e-05,5.05e-05
27,43097.3,1.21022,0.80385,1.44444,0.99919,1,0.995,0.79291,0.78279,0.38173,1.26159,4.73919e-05,4.73919e-05,4.73919e-05
28,44790,1.18865,0.78519,1.42233,0.98923,0.9898,0.9948,0.78956,0.78591,0.40038,1.25631,4.4296e-05,4.4296e-05,4.4296e-05
29,46400,1.19428,0.78749,1.43297,0.99837,1,0.995,0.78766,0.81032,0.39235,1.30452,4.12246e-05,4.12246e-05,4.12246e-05
30,48205.8,1.17591,0.7837,1.42388,0.98985,1,0.9949,0.78053,0.81453,0.39054,1.32032,3.81899e-05,3.81899e-05,3.81899e-05
